Property Name,Location,Website_Link,Contact_Number
Kydonia Rooms,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Tina Chania,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Niriis Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Orestis Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hippie City Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Peter & Tony,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
YOD - Youth Of Dope Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Cocoon City Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Kumba Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Boho City Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Paros Backpackers,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Vassiliki,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Armenistis Camping & Hostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
STAY Hotel Rhodes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Anastasia Studios,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Europa Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Rhodes Backpackers,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
STAY Hostel Rhodes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Mango Rooms,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Citotel Cesar Nimes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Concorde,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Atlantis Hotel Thessaloniki,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Carolina,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Chanteclair,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Surfhostel Hossegor,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Georges Hostel&Café,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Eklo Lille,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Lille Stéphane Hessel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
The People - Lille,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Esplanade,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Nami House,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Palmito,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel/Hostel Saint Charles Biarritz,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Le Grillon,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hôtel Harretchea,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Anjou,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel 20 Bayonne,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
JO&JOE Hossegor,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
L'escale Surf Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Surf hostel Biarritz,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
HEJMO,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Strasbourg 2 Rives,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Amama Baita,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
The People - Strasbourg,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
CIS de Champagne,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Backpacker's Hostel Chez Patrick,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Parisien,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Monsigny,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel de la Fontaine,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel Baccarat,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Villa Saint Hubert,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Banana's Camp,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Antares Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel Pastoral,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Open House Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel OZZ & Bar By Happyculture,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel Meyerbeer Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Vertigo Nimes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel Belle Meuniere,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Nice Les Camélias,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Villa Saint Exupery Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Royal Wilson,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel des Ambassadeurs,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Victor Hugo,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
La petite auberge de  Saint-Sernin,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
RentRooms Thessaloniki,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Eklo Toulouse,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Friendly Auberge,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Residence Thibaud,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Maison L28,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Kastoria - Thessaloniki,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Zeus is Loose Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Thessaloniki Studios Arabas,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Crossroads,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Jetpak Alternative,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Bungalow Guesthouse,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
The People - Les 2 Alpes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Hüb by Privilodges,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Annecy Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
RockyPop Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Chamonix Mont-Blanc Alpes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Moontain- Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
La Folie Douce Hotels Chamonix,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Chamonix Lodge,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Pitchounette & Olives,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Vert Lodge Chamonix,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Chalet-Gite Chamoniard Volant Hostel Chamonix,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Maison Montgrand Marseille Vieux Port,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Bellevue,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hostel L'Ambassade Bretonne Vieux-Port,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Marseille Bois Luzy,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Hermes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Azur,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Maison Saint Louis,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Pension Edelweiss,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
JOST Auberge de jeunesse Montpellier Centre Gare,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Kyriad Montpellier Sud,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
MEININGER Marseille Centre la Joliette,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Vertigo Vieux-Port,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
The People - Marseille,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Acapulco,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Maje Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Couvent Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Résidence la Barbacane,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Enjoy Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Ho36 Les Menuires,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Arty Paris Porte de Versailles by River,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
City Inn Paris,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Ethic Etape-CIS-Narbonne,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Oops Latin Quarter by Hiphophostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Regent Montmartre by Hiphophostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
MEININGER Paris Porte de Vincennes,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
BVJ Opera-Montmartre,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Peace & Love Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
The 3 Ducks Eiffel Tower by Hiphophostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Paris Le d'Artagnan,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Aloha Eiffel Tower by Hiphophostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Montclair Montmartre by River,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
JO&JOE Paris - Gentilly,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Bastille Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Generator Paris,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hosho Paris Sud Porte D'Italie,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
St Christopher's Inn Gare du Nord,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Auberge de Jeunesse HI Paris Yves Robert,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
MIJE Marais,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Louisa Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
FIAP Paris,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
St Christopher's Inn Canal,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Le Village Montmartre by Hiphophostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Alizé Montmartre,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Neuilly Park Hotel Porte Maillot,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel du Square d'Anvers,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hôtel du Globe 18,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Absolute Paris Boutique Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Cafe Hotel de l'avenir,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Eurohotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Chemin Vert,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Regina,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel de l'Exposition,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel des Mines,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Boissiere,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel de la Felicite,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Le Rocroy **** Gare du Nord by HipHopHostels,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Marignan,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Corona Rodier,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Grand Hotel de Clermont,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Champerret Elysees Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Ernest,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel de l'Union,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Britannique,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Eiffel Turenne,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
